dataset,n_triples_exportable,n_empty_literals,backend,load_s,metric_s,n_triples,n_entities,mean_degree,max_degree,peak_rss_mb
EN_FR_15K_V1,104471,27,pandas,0.29,0.011,104498,15000,6.3112,393,129.4
EN_FR_15K_V1,104471,0,rdflib,1.66,0.174,104471,15000,6.3112,393,239.2
