matcher,f1_mean,f1_std
value_overlap,0.5473802280106224,0.08146900719636206
pyjedai_ngram,0.40861660211039313,0.06960605140944037
structural_propagation,0.5273858313648572,0.0952907302228297
paris,0.8531636616389396,0.06658204387850787
