dataset,matcher,f1_mean,f1_std,f1_min,f1_max,precision_mean,precision_std,n_folds
D_W_15K_V1,paris,0.7465116809632005,0.003357518659600491,0.7405308506332042,0.7484323764597596,0.9447847951456056,0.0012992471647392003,5
D_W_15K_V1,pyjedai_ngram,0.3218286671126459,0.003484910788108138,0.31788957380526284,0.32668378431759826,0.5274573903705417,0.0036902708789897497,5
D_W_15K_V1,structural_propagation,0.4898058677336863,0.0125280760231677,0.46827891461928284,0.500031703760066,0.7319509810686865,0.011631372295971814,5
D_W_15K_V1,value_overlap,0.39174124530120125,0.002428882073272465,0.3896586012595293,0.3959364074147371,0.6413238834192069,0.0023356924509237227,5
D_Y_15K_V1,paris,0.9216439062680604,0.0005474011335686013,0.9209552299345941,0.922289766970618,0.9847333615064269,0.0004923674370692596,5
D_Y_15K_V1,pyjedai_ngram,0.43363802052450157,0.001446234210682381,0.43209708208344694,0.43529171488869217,0.7598585201300088,0.002576734238630981,5
D_Y_15K_V1,structural_propagation,0.4980264757736899,0.007288027266184294,0.4857613556130855,0.5051726142043473,0.6453747826318048,0.006494790366935218,5
D_Y_15K_V1,value_overlap,0.5932112177737139,0.0029946067329632686,0.5882927424769578,0.595861229458308,0.8236040201215425,0.002760885234032589,5
EN_DE_15K_V1,paris,0.898233955137643,0.0009954048850423437,0.897507498190092,0.8997623230339982,0.9827764430809129,0.0007700631221732748,5
EN_DE_15K_V1,pyjedai_ngram,0.33983292893225847,0.003947017433999609,0.33707017354748303,0.3467472219225375,0.39128072410986653,0.0048439616898645985,5
EN_DE_15K_V1,structural_propagation,0.6369326248663544,0.003587950499044131,0.6335381494959136,0.6424278488545075,0.8504759744412509,0.004073562999692485,5
EN_DE_15K_V1,value_overlap,0.6130920638211703,0.0029540537694635713,0.6096122337520481,0.6169598605740428,0.7171120497717175,0.0034364827472723168,5
EN_FR_15K_V1,paris,0.8100416595486735,0.0010756090595836652,0.8087443821783277,0.8112391930835734,0.9688226588214206,0.0015286919626079348,5
EN_FR_15K_V1,pyjedai_ngram,0.4437649733138075,0.0019701826893479776,0.4418464240627916,0.44650035794922627,0.5248892706897015,0.0033835118679579074,5
EN_FR_15K_V1,structural_propagation,0.3875500598353011,0.004226814651782693,0.3813665414772353,0.3927061310782241,0.6328833799890927,0.009757058488900301,5
EN_FR_15K_V1,value_overlap,0.5591877759601808,0.0019745743945311146,0.555783340526543,0.560591345635049,0.6448445472473353,0.002299223017828093,5
EN_FR_15K_V2,paris,0.8893871062771204,0.0011552041226561731,0.8884089272858171,0.8911746554206953,0.9676766189164512,0.0012598458474918266,5
EN_FR_15K_V2,pyjedai_ngram,0.504018420668752,0.0018467390413386157,0.5021914770026932,0.5066004857957547,0.5666632782315986,0.002035177225659453,5
EN_FR_15K_V2,structural_propagation,0.6246141286152543,0.01176836833460275,0.6145905024088093,0.6386545104479302,0.7768792736050181,0.00975024323107746,5
EN_FR_15K_V2,value_overlap,0.5796688371968457,0.00396412505972171,0.5740484606321398,0.5843617184699678,0.6270145886776277,0.004082978682591303,5
