dataset,n_triples_exportable,n_empty_literals,backend,load_s,metric_s,n_triples,n_entities,mean_degree,max_degree,peak_rss_mb
EN_FR_100K_V1,693810,45,pandas,2.26,0.084,693855,100000,6.1921,1293,337.7
EN_FR_100K_V1,693809,0,rdflib,21.43,1.494,693809,100000,6.1921,1293,890.6
