matcher,metric,spearman_rho,p_value,n_datasets,abs_rho
hybrid,property_distribution.pair.mean_rel_entropy_norm,-0.8285714285714287,0.04156268221574335,6,0.8285714285714287
hybrid,schema_heterogeneity.property_jaccard,0.8116794499134278,0.049857585101340404,6,0.8116794499134278
hybrid,degree_distribution.pair.min_median_total_degree,0.7775419143502353,0.06872694144108958,6,0.7775419143502353
hybrid,attribute_completeness.pair.mean_share_literals_text,-0.7714285714285715,0.07239650145772594,6,0.7714285714285715
hybrid,degree_distribution.pair.mean_total_degree,0.7142857142857143,0.11078717201166179,6,0.7142857142857143
hybrid,degree_distribution.kg1.powerlaw_alpha,-0.7142857142857143,0.11078717201166179,6,0.7142857142857143
hybrid,connectivity.pair.min_share_largest_cc,0.48571428571428577,0.3287230320699708,6,0.48571428571428577
hybrid,alignment_reachability.share_pairs_both_in_lcc,0.48571428571428577,0.3287230320699708,6,0.48571428571428577
literal_tfidf,aligned_consistency.literal_value_jaccard.mean,0.942857142857143,0.004804664723032055,6,0.942857142857143
literal_tfidf,basic_stats.kg1.attr_to_rel_ratio,-0.8857142857142858,0.01884548104956266,6,0.8857142857142858
literal_tfidf,basic_stats.kg2.attr_to_rel_ratio,-0.7714285714285715,0.07239650145772594,6,0.7714285714285715
literal_tfidf,degree_distribution.pair.mean_total_degree,0.6571428571428573,0.1561749271137024,6,0.6571428571428573
literal_tfidf,degree_distribution.kg1.powerlaw_alpha,-0.6571428571428573,0.1561749271137024,6,0.6571428571428573
literal_tfidf,attribute_completeness.pair.mean_attr_per_entity,-0.6571428571428573,0.1561749271137024,6,0.6571428571428573
literal_tfidf,schema_heterogeneity.property_jaccard,0.5797710356524485,0.22778395671501586,6,0.5797710356524485
literal_tfidf,attribute_completeness.pair.mean_share_literals_text,-0.5428571428571429,0.26570262390670546,6,0.5428571428571429
paris,property_distribution.pair.mean_rel_entropy_norm,-0.7714285714285715,0.07239650145772594,6,0.7714285714285715
paris,degree_distribution.pair.mean_degree_gini,-0.6,0.208,6,0.6
paris,basic_stats.kg2.attr_to_rel_ratio,0.4285714285714286,0.3965014577259473,6,0.4285714285714286
paris,degree_distribution.pair.min_median_total_degree,0.3718678720805473,0.4679101990344625,6,0.3718678720805473
paris,attribute_completeness.pair.min_share_entities_with_attribute,0.3714285714285715,0.4684781341107872,6,0.3714285714285715
paris,basic_stats.pair.n_triples_total,-0.3142857142857143,0.5440932944606415,6,0.3142857142857143
paris,basic_stats.kg1.attr_to_rel_ratio,0.3142857142857143,0.5440932944606415,6,0.3142857142857143
paris,attribute_completeness.pair.mean_attr_per_entity,0.3142857142857143,0.5440932944606415,6,0.3142857142857143
structural_propagation,property_distribution.pair.mean_rel_entropy_norm,-1.0,0.0,6,1.0
structural_propagation,degree_distribution.pair.min_median_total_degree,0.7775419143502353,0.06872694144108958,6,0.7775419143502353
structural_propagation,connectivity.pair.min_share_largest_cc,0.5428571428571429,0.26570262390670546,6,0.5428571428571429
structural_propagation,alignment_reachability.share_pairs_both_in_lcc,0.5428571428571429,0.26570262390670546,6,0.5428571428571429
structural_propagation,schema_heterogeneity.property_jaccard,0.5217939320872036,0.2883432338003935,6,0.5217939320872036
structural_propagation,attribute_completeness.pair.mean_share_literals_text,-0.48571428571428577,0.3287230320699708,6,0.48571428571428577
structural_propagation,degree_distribution.pair.mean_total_degree,0.4285714285714286,0.3965014577259473,6,0.4285714285714286
structural_propagation,degree_distribution.kg1.powerlaw_alpha,-0.4285714285714286,0.3965014577259473,6,0.4285714285714286
value_overlap,property_distribution.pair.mean_rel_entropy_norm,-0.7714285714285715,0.07239650145772594,6,0.7714285714285715
value_overlap,schema_heterogeneity.property_jaccard,0.550782483869826,0.2573693316225746,6,0.550782483869826
value_overlap,degree_distribution.pair.min_median_total_degree,0.5408987230262506,0.26777767151474974,6,0.5408987230262506
value_overlap,attribute_completeness.pair.mean_share_literals_text,-0.4285714285714286,0.3965014577259473,6,0.4285714285714286
value_overlap,degree_distribution.pair.mean_total_degree,0.3142857142857143,0.5440932944606415,6,0.3142857142857143
value_overlap,degree_distribution.kg1.powerlaw_alpha,-0.3142857142857143,0.5440932944606415,6,0.3142857142857143
value_overlap,attribute_completeness.pair.mean_attr_per_entity,0.2571428571428572,0.6227871720116619,6,0.2571428571428572
value_overlap,degree_distribution.pair.mean_degree_gini,-0.2,0.7040000000000001,6,0.2
