dataset,metric,pandas,spark,abs_diff,match
EN_DE_15K_V1,kg1.total_degree.gini,0.5257371941158375,0.5257371941158375,0.0,True
EN_DE_15K_V1,kg2.total_degree.gini,0.5490257812861554,0.5490257812861554,0.0,True
EN_DE_15K_V1,kg1.share_isolated,0.0,0.0,0.0,True
EN_DE_15K_V1,kg2.share_isolated,0.0,0.0,0.0,True
EN_DE_15K_V1,kg1.rel.n_properties,215.0,215.0,0.0,True
EN_DE_15K_V1,kg2.rel.n_properties,131.0,131.0,0.0,True
EN_DE_15K_V1,kg1.rel.top10_concentration,0.8031084822552228,0.8031084822552228,0.0,True
EN_DE_15K_V1,kg2.rel.top10_concentration,0.7880164223804518,0.7880164223804518,0.0,True
D_W_15K_V1,kg1.n_entities,15000.0,15000.0,0.0,True
D_W_15K_V1,kg2.n_entities,15000.0,15000.0,0.0,True
D_W_15K_V1,kg1.n_relations,248.0,248.0,0.0,True
D_W_15K_V1,kg2.n_relations,169.0,169.0,0.0,True
D_W_15K_V1,kg1.n_attributes,341.0,341.0,0.0,True
D_W_15K_V1,kg2.n_attributes,649.0,649.0,0.0,True
D_W_15K_V1,kg1.n_literals,28237.0,28237.0,0.0,True
D_W_15K_V1,kg2.n_literals,118515.0,118515.0,0.0,True
D_W_15K_V1,kg1.n_rel_triples,38265.0,38265.0,0.0,True
D_W_15K_V1,kg2.n_rel_triples,42746.0,42746.0,0.0,True
D_W_15K_V1,kg1.n_attr_triples,52134.0,52134.0,0.0,True
D_W_15K_V1,kg2.n_attr_triples,138246.0,138246.0,0.0,True
D_W_15K_V1,kg1.attr_to_rel_ratio,1.3624460995687966,1.3624460995687966,0.0,True
D_W_15K_V1,kg2.attr_to_rel_ratio,3.234127169793665,3.234127169793665,0.0,True
D_W_15K_V1,alignments.n,15000.0,15000.0,0.0,True
D_W_15K_V1,kg1.total_degree.mean,5.102,5.102,0.0,True
D_W_15K_V1,kg2.total_degree.mean,5.699466666666667,5.699466666666667,0.0,True
D_W_15K_V1,kg1.total_degree.median,3.0,3.0,0.0,True
D_W_15K_V1,kg2.total_degree.median,3.0,3.0,0.0,True
D_W_15K_V1,kg1.total_degree.max,335.0,335.0,0.0,True
D_W_15K_V1,kg2.total_degree.max,4443.0,4443.0,0.0,True
D_W_15K_V1,kg1.total_degree.gini,0.4849527801733524,0.4849527801733524,0.0,True
D_W_15K_V1,kg2.total_degree.gini,0.5035773530466789,0.5035773530466789,0.0,True
D_W_15K_V1,kg1.share_isolated,0.0,0.0,0.0,True
D_W_15K_V1,kg2.share_isolated,0.0,0.0,0.0,True
D_W_15K_V1,kg1.rel.n_properties,248.0,248.0,0.0,True
D_W_15K_V1,kg2.rel.n_properties,169.0,169.0,0.0,True
D_W_15K_V1,kg1.rel.top10_concentration,0.5740493923951392,0.5740493923951392,0.0,True
D_W_15K_V1,kg2.rel.top10_concentration,0.5872128386281757,0.5872128386281757,0.0,True
D_Y_15K_V1,kg1.n_entities,15000.0,15000.0,0.0,True
D_Y_15K_V1,kg2.n_entities,15000.0,15000.0,0.0,True
D_Y_15K_V1,kg1.n_relations,165.0,165.0,0.0,True
D_Y_15K_V1,kg2.n_relations,28.0,28.0,0.0,True
D_Y_15K_V1,kg1.n_attributes,256.0,256.0,0.0,True
D_Y_15K_V1,kg2.n_attributes,34.0,34.0,0.0,True
D_Y_15K_V1,kg1.n_literals,25297.0,25297.0,0.0,True
D_Y_15K_V1,kg2.n_literals,105710.0,105710.0,0.0,True
D_Y_15K_V1,kg1.n_rel_triples,30291.0,30291.0,0.0,True
D_Y_15K_V1,kg2.n_rel_triples,26638.0,26638.0,0.0,True
D_Y_15K_V1,kg1.n_attr_triples,52093.0,52093.0,0.0,True
D_Y_15K_V1,kg2.n_attr_triples,117114.0,117114.0,0.0,True
D_Y_15K_V1,kg1.attr_to_rel_ratio,1.7197517414413521,1.7197517414413521,0.0,True
D_Y_15K_V1,kg2.attr_to_rel_ratio,4.396501238831744,4.396501238831744,0.0,True
D_Y_15K_V1,alignments.n,15000.0,15000.0,0.0,True
D_Y_15K_V1,kg1.total_degree.mean,4.0388,4.0388,0.0,True
D_Y_15K_V1,kg2.total_degree.mean,3.5517333333333334,3.5517333333333334,0.0,True
D_Y_15K_V1,kg1.total_degree.median,3.0,3.0,0.0,True
D_Y_15K_V1,kg2.total_degree.median,3.0,3.0,0.0,True
D_Y_15K_V1,kg1.total_degree.max,361.0,361.0,0.0,True
D_Y_15K_V1,kg2.total_degree.max,104.0,104.0,0.0,True
D_Y_15K_V1,kg1.total_degree.gini,0.4033726365367052,0.4033726365367052,0.0,True
