matcher,dataset,split,n_gold,n_unmatched,n_predicted,n_correct,n_false_on_unmatched,precision,recall,f1,hits_at_1,coverage,abstain_rate,runtime_s
value_overlap,D_W_100K_V1,test,70000,0,40559,19218,0,0.4738282502034074,0.27454285714285714,0.3476514802051393,0.27454285714285714,0.5794142857142857,0.42058571428571434,7.488237540994305
structural_propagation,D_W_100K_V1,test,70000,0,32683,23964,0,0.7332252241226326,0.3423428571428571,0.4667569120497063,0.3423428571428571,0.4669,0.5331,108.18140033300006
paris,D_W_100K_V1,test,70000,0,42668,39873,0,0.9344942345551701,0.5696142857142857,0.7077963574395568,0.5696142857142857,0.6095428571428572,0.39045714285714284,93.26334154200595
value_overlap,D_W_100K_V2,test,70000,0,41077,17998,0,0.43815273754169,0.25711428571428574,0.3240634874906597,0.25711428571428574,0.5868142857142857,0.41318571428571427,9.065143375002663
structural_propagation,D_W_100K_V2,test,70000,0,50490,43316,0,0.857912457912458,0.6188,0.7189974271723795,0.6188,0.7212857142857143,0.2787142857142857,164.21893858299882
paris,D_W_100K_V2,test,70000,0,56352,53271,0,0.9453258091993185,0.7610142857142858,0.8432157781435988,0.7610142857142858,0.8050285714285714,0.19497142857142857,212.63522541699786
value_overlap,D_W_15K_V1,test,10500,0,4585,2939,0,0.6410032715376227,0.2799047619047619,0.3896586012595293,0.2799047619047619,0.43666666666666665,0.5633333333333334,0.56963687499956
structural_propagation,D_W_15K_V1,test,10500,0,5382,3942,0,0.7324414715719063,0.37542857142857144,0.49641103135625236,0.37542857142857144,0.5125714285714286,0.48742857142857143,4.663156625007105
paris,D_W_15K_V1,test,10500,0,6805,6423,0,0.9438648052902278,0.6117142857142858,0.742328806703265,0.6117142857142858,0.6480952380952381,0.35190476190476194,11.601679749997857
value_overlap,D_W_15K_V2,test,10500,0,4268,2579,0,0.6042642924086223,0.24561904761904763,0.3492686890574215,0.24561904761904763,0.4064761904761905,0.5935238095238096,0.6584306670047226
structural_propagation,D_W_15K_V2,test,10500,0,8048,7310,0,0.9083001988071571,0.6961904761904761,0.7882251455682554,0.6961904761904761,0.7664761904761904,0.23352380952380958,6.7782810839999
paris,D_W_15K_V2,test,10500,0,8912,8533,0,0.9574730700179533,0.8126666666666666,0.8791469194312796,0.8126666666666666,0.8487619047619047,0.15123809523809528,13.828632874996401
value_overlap,D_Y_100K_V1,test,70000,0,51814,21398,0,0.41297718763268615,0.3056857142857143,0.3513225080860985,0.3056857142857143,0.7402,0.25980000000000003,8.542260458001692
structural_propagation,D_Y_100K_V1,test,70000,0,43244,37695,0,0.87168162057164,0.5385,0.6657306347356151,0.5385,0.6177714285714285,0.3822285714285715,73.76037774999713
paris,D_Y_100K_V1,test,70000,0,61055,60279,0,0.9872901482270084,0.8611285714285715,0.9199038571592081,0.8611285714285715,0.8722142857142857,0.12778571428571428,56.78824399999576
value_overlap,D_Y_100K_V2,test,70000,0,51445,20461,0,0.3977257265040334,0.2923,0.3369591172958952,0.2923,0.7349285714285714,0.2650714285714286,12.019181957999535
structural_propagation,D_Y_100K_V2,test,70000,0,57396,53114,0,0.9253954979441076,0.7587714285714285,0.8338409369210964,0.7587714285714285,0.8199428571428572,0.1800571428571428,137.33887833300105
