dataset,stage,component,backend,runtime_s
D_Y_15K_V1,matcher,structural_propagation,pandas,3.5128767500063987
D_Y_15K_V1,matcher,paris,pandas,7.839172417006921
D_Y_15K_V2,metric,basic_stats,pandas,0.031952207995345816
D_Y_15K_V2,metric,degree_distribution,pandas,0.0265539579995675
D_Y_15K_V2,metric,property_distribution,pandas,0.021842041998752393
D_Y_15K_V2,metric,connectivity,pandas,0.24032399999850895
D_Y_15K_V2,metric,long_tail,pandas,0.012178708006103989
D_Y_15K_V2,metric,attribute_completeness,pandas,0.07686995899712201
D_Y_15K_V2,metric,type_distribution,pandas,0.003126957999484148
D_Y_15K_V2,metric,schema_heterogeneity,pandas,0.015999457995349076
D_Y_15K_V2,metric,aligned_consistency,pandas,0.15705416699347552
D_Y_15K_V2,metric,alignment_metrics,pandas,0.0132702090049861
D_Y_15K_V2,metric,alignment_reachability,pandas,0.1265521669993177
D_Y_15K_V2,matcher,value_overlap,pandas,0.48368708299676655
D_Y_15K_V2,matcher,structural_propagation,pandas,3.345125250001729
D_Y_15K_V2,matcher,paris,pandas,11.724342708999757
EN_DE_100K_V1,metric,basic_stats,pandas,0.23916037500021048
EN_DE_100K_V1,metric,degree_distribution,pandas,0.2260572079976555
EN_DE_100K_V1,metric,property_distribution,pandas,0.05557012500503333
EN_DE_100K_V1,metric,connectivity,pandas,3.087871333002113
EN_DE_100K_V1,metric,long_tail,pandas,0.15351545900193742
EN_DE_100K_V1,metric,attribute_completeness,pandas,0.8327800829938496
EN_DE_100K_V1,metric,type_distribution,pandas,0.015840416999708395
EN_DE_100K_V1,metric,schema_heterogeneity,pandas,0.11130995800340315
EN_DE_100K_V1,metric,aligned_consistency,pandas,0.36405912500049453
EN_DE_100K_V1,metric,alignment_metrics,pandas,0.14497641699563246
EN_DE_100K_V1,metric,alignment_reachability,pandas,1.8811179170006653
EN_DE_100K_V1,matcher,value_overlap,pandas,6.294863416005683
EN_DE_100K_V1,matcher,structural_propagation,pandas,114.41312325000035
EN_DE_100K_V1,matcher,paris,pandas,86.18696641699353
EN_DE_100K_V2,metric,basic_stats,pandas,0.2559137499993085
EN_DE_100K_V2,metric,degree_distribution,pandas,0.279440499994962
EN_DE_100K_V2,metric,property_distribution,pandas,0.17759554099757224
EN_DE_100K_V2,metric,connectivity,pandas,7.790638958002091
EN_DE_100K_V2,metric,long_tail,pandas,0.13899145800678525
EN_DE_100K_V2,metric,attribute_completeness,pandas,0.73982629099919
EN_DE_100K_V2,metric,type_distribution,pandas,0.027048500000091735
EN_DE_100K_V2,metric,schema_heterogeneity,pandas,0.1292576249979902
