dataset,matcher,error_class,n,share
EN_DE_15K_V1_NM,structural_propagation,false_on_unmatched,917,0.11680040759138963
EN_DE_15K_V1_NM,structural_propagation,no_signal,11,0.0014010954018596356
EN_DE_15K_V1_NM,structural_propagation,structurally_unreachable,966,0.123041650745128
EN_DE_15K_V1_NM,structural_propagation,no_shared_literal,0,0.0
EN_DE_15K_V1_NM,structural_propagation,abstained,2249,0.28646032352566553
EN_DE_15K_V1_NM,structural_propagation,wrong_candidate,1093,0.1392179340211438
EN_DE_15K_V1_NM,paris,correct,6022,0.7670360463635205
EN_DE_15K_V1_NM,paris,false_on_unmatched,428,0.054515348363265825
EN_DE_15K_V1_NM,paris,no_signal,11,0.0014010954018596356
EN_DE_15K_V1_NM,paris,structurally_unreachable,324,0.04126862820022927
EN_DE_15K_V1_NM,paris,no_shared_literal,0,0.0
EN_DE_15K_V1_NM,paris,abstained,948,0.12074894917844861
EN_DE_15K_V1_NM,paris,wrong_candidate,118,0.015029932492676092
D_W_15K_V1_NM,value_overlap,correct,3133,0.39905744491147627
D_W_15K_V1_NM,value_overlap,false_on_unmatched,927,0.1180741306839893
D_W_15K_V1_NM,value_overlap,no_signal,36,0.0045854031333588076
D_W_15K_V1_NM,value_overlap,structurally_unreachable,0,0.0
D_W_15K_V1_NM,value_overlap,no_shared_literal,3305,0.42096548210419055
D_W_15K_V1_NM,value_overlap,abstained,103,0.01311934785377659
D_W_15K_V1_NM,value_overlap,wrong_candidate,347,0.044198191313208506
D_W_15K_V1_NM,pyjedai_ngram,correct,2948,0.3754935676983824
D_W_15K_V1_NM,pyjedai_ngram,false_on_unmatched,851,0.10839383518023182
D_W_15K_V1_NM,pyjedai_ngram,no_signal,36,0.0045854031333588076
D_W_15K_V1_NM,pyjedai_ngram,structurally_unreachable,0,0.0
D_W_15K_V1_NM,pyjedai_ngram,no_shared_literal,3219,0.4100114635078334
D_W_15K_V1_NM,pyjedai_ngram,abstained,349,0.04445293593172844
D_W_15K_V1_NM,pyjedai_ngram,wrong_candidate,448,0.05706279454846516
D_W_15K_V1_NM,structural_propagation,correct,2368,0.3016176283276016
D_W_15K_V1_NM,structural_propagation,false_on_unmatched,981,0.12495223538402751
D_W_15K_V1_NM,structural_propagation,no_signal,36,0.0045854031333588076
D_W_15K_V1_NM,structural_propagation,structurally_unreachable,1126,0.1434212202267227
D_W_15K_V1_NM,structural_propagation,no_shared_literal,0,0.0
D_W_15K_V1_NM,structural_propagation,abstained,2064,0.26289644631257164
D_W_15K_V1_NM,structural_propagation,wrong_candidate,1276,0.16252706661571775
D_W_15K_V1_NM,paris,correct,4603,0.5862947395236275
D_W_15K_V1_NM,paris,false_on_unmatched,354,0.04508979747802828
D_W_15K_V1_NM,paris,no_signal,36,0.0045854031333588076
