dataset,paris,pyjedai_ngram,structural_propagation,value_overlap
D_W_15K_V1_NM,0.5817,0.2867,0.1636,0.3536
D_Y_15K_V1_NM,0.7611,0.4116,0.1812,0.5608
EN_DE_15K_V1_NM,0.7988,0.2739,0.2072,0.549
EN_FR_100K_V1_NM,0.6203,,0.1344,0.3857
EN_FR_15K_V1_NM,0.6988,0.3759,0.1515,0.4863
EN_FR_15K_V2_NM,0.7245,0.4214,0.2527,0.4958
