matcher,metric,spearman_rho,p_value,n_datasets,abs_rho,n_tests,p_bonferroni,survives_bonferroni,p_fdr,survives_fdr
structural_propagation,degree_distribution.kg1.powerlaw_alpha,-0.48571428571428577,0.3287230320699708,6,0.48571428571428577,64,1.0,False,0.9310811430075076,False
structural_propagation,attribute_completeness.pair.mean_share_literals_text,-0.4285714285714286,0.3965014577259473,6,0.4285714285714286,64,1.0,False,0.9310811430075076,False
structural_propagation,schema_heterogeneity.property_jaccard,0.23190841426097936,0.6583735712609272,6,0.23190841426097936,64,1.0,False,0.9310811430075076,False
structural_propagation,basic_stats.pair.n_triples_total,-0.14285714285714288,0.7871720116618076,6,0.14285714285714288,64,1.0,False,0.9310811430075076,False
structural_propagation,attribute_completeness.pair.min_share_entities_with_attribute,0.14285714285714288,0.7871720116618076,6,0.14285714285714288,64,1.0,False,0.9310811430075076,False
structural_propagation,aligned_consistency.degree_spearman,-0.14285714285714288,0.7871720116618076,6,0.14285714285714288,64,1.0,False,0.9310811430075076,False
structural_propagation,aligned_consistency.literal_value_jaccard.mean,0.14285714285714288,0.7871720116618076,6,0.14285714285714288,64,1.0,False,0.9310811430075076,False
structural_propagation,basic_stats.kg1.attr_to_rel_ratio,-0.08571428571428573,0.8717434402332361,6,0.08571428571428573,64,1.0,False,0.9310811430075076,False
structural_propagation,attribute_completeness.pair.mean_attr_per_entity,0.08571428571428573,0.8717434402332361,6,0.08571428571428573,64,1.0,False,0.9310811430075076,False
structural_propagation,basic_stats.kg2.attr_to_rel_ratio,-0.028571428571428574,0.9571545189504373,6,0.028571428571428574,64,1.0,False,0.988030471174645,False
value_overlap,property_distribution.pair.mean_rel_entropy_norm,-0.7714285714285715,0.07239650145772594,6,0.7714285714285715,64,1.0,False,0.926675218658892,False
value_overlap,degree_distribution.pair.mean_degree_gini,-0.4285714285714286,0.3965014577259473,6,0.4285714285714286,64,1.0,False,0.9310811430075076,False
value_overlap,degree_distribution.pair.min_median_total_degree,0.3718678720805473,0.4679101990344625,6,0.3718678720805473,64,1.0,False,0.9310811430075076,False
value_overlap,basic_stats.pair.n_triples_total,-0.3142857142857143,0.5440932944606415,6,0.3142857142857143,64,1.0,False,0.9310811430075076,False
value_overlap,basic_stats.kg2.attr_to_rel_ratio,0.2571428571428572,0.6227871720116619,6,0.2571428571428572,64,1.0,False,0.9310811430075076,False
value_overlap,aligned_consistency.degree_spearman,-0.2571428571428572,0.6227871720116619,6,0.2571428571428572,64,1.0,False,0.9310811430075076,False
value_overlap,schema_heterogeneity.property_jaccard,0.23190841426097936,0.6583735712609272,6,0.23190841426097936,64,1.0,False,0.9310811430075076,False
value_overlap,basic_stats.kg1.attr_to_rel_ratio,0.2,0.7040000000000001,6,0.2,64,1.0,False,0.9310811430075076,False
value_overlap,connectivity.pair.min_share_largest_cc,-0.14285714285714288,0.7871720116618076,6,0.14285714285714288,64,1.0,False,0.9310811430075076,False
value_overlap,attribute_completeness.pair.mean_attr_per_entity,0.14285714285714288,0.7871720116618076,6,0.14285714285714288,64,1.0,False,0.9310811430075076,False
value_overlap,attribute_completeness.pair.mean_share_literals_text,-0.14285714285714288,0.7871720116618076,6,0.14285714285714288,64,1.0,False,0.9310811430075076,False
value_overlap,alignment_reachability.share_pairs_both_in_lcc,-0.14285714285714288,0.7871720116618076,6,0.14285714285714288,64,1.0,False,0.9310811430075076,False
value_overlap,degree_distribution.pair.mean_total_degree,0.08571428571428573,0.8717434402332361,6,0.08571428571428573,64,1.0,False,0.9310811430075076,False
value_overlap,degree_distribution.kg1.powerlaw_alpha,-0.08571428571428573,0.8717434402332361,6,0.08571428571428573,64,1.0,False,0.9310811430075076,False
value_overlap,attribute_completeness.pair.min_share_entities_with_attribute,0.08571428571428573,0.8717434402332361,6,0.08571428571428573,64,1.0,False,0.9310811430075076,False
value_overlap,aligned_consistency.literal_value_jaccard.mean,0.08571428571428573,0.8717434402332361,6,0.08571428571428573,64,1.0,False,0.9310811430075076,False
